---------------------------------------
Begin Slurm Prolog: Apr-17-2026 01:33:54
Job ID:    4907821
User ID:   rsiddique32
Account:   ece
Job name:  GAT_1
Partition: coe-gpu
QOS:       coe-ice
---------------------------------------
TF version: 2.16.1
Num GPUs Available:  0
TensorFlow is still on the CPU. Check CUDA/cuDNN installation.
Update 14000/100000 | Loss: -0.1522 | Avg Turns/Game: 45.1 | Avg Reward: -74.04 | Re-hits: 0
Update 14100/100000 | Loss: -0.2950 | Avg Turns/Game: 46.5 | Avg Reward: -85.93 | Re-hits: 0
Update 14200/100000 | Loss: -0.5308 | Avg Turns/Game: 41.6 | Avg Reward: -52.40 | Re-hits: 0
Update 14300/100000 | Loss: -0.2419 | Avg Turns/Game: 44.4 | Avg Reward: -70.29 | Re-hits: 0
Update 14400/100000 | Loss: 0.0363 | Avg Turns/Game: 45.2 | Avg Reward: -72.75 | Re-hits: 0
Update 14500/100000 | Loss: -0.0372 | Avg Turns/Game: 44.8 | Avg Reward: -74.42 | Re-hits: 0
Update 14600/100000 | Loss: -0.4626 | Avg Turns/Game: 46.2 | Avg Reward: -79.54 | Re-hits: 0
Update 14700/100000 | Loss: -0.0840 | Avg Turns/Game: 42.5 | Avg Reward: -60.14 | Re-hits: 0
Update 14800/100000 | Loss: -0.1495 | Avg Turns/Game: 45.9 | Avg Reward: -78.59 | Re-hits: 0
Update 14900/100000 | Loss: -0.0971 | Avg Turns/Game: 45.7 | Avg Reward: -78.37 | Re-hits: 0
Update 15000/100000 | Loss: -0.2070 | Avg Turns/Game: 45.7 | Avg Reward: -79.19 | Re-hits: 0
Update 15100/100000 | Loss: -0.4673 | Avg Turns/Game: 43.7 | Avg Reward: -65.63 | Re-hits: 0
Update 15200/100000 | Loss: -0.0788 | Avg Turns/Game: 45.4 | Avg Reward: -76.65 | Re-hits: 0
Update 15300/100000 | Loss: -0.3347 | Avg Turns/Game: 45.8 | Avg Reward: -78.07 | Re-hits: 0
Update 15400/100000 | Loss: 0.0347 | Avg Turns/Game: 44.1 | Avg Reward: -70.38 | Re-hits: 0
Update 15500/100000 | Loss: -0.0010 | Avg Turns/Game: 45.5 | Avg Reward: -77.06 | Re-hits: 0
Update 15600/100000 | Loss: -0.2968 | Avg Turns/Game: 45.1 | Avg Reward: -74.84 | Re-hits: 0
Update 15700/100000 | Loss: -0.2637 | Avg Turns/Game: 44.2 | Avg Reward: -70.20 | Re-hits: 0
Update 15800/100000 | Loss: 0.0619 | Avg Turns/Game: 46.6 | Avg Reward: -81.28 | Re-hits: 0
Update 15900/100000 | Loss: -0.0972 | Avg Turns/Game: 43.9 | Avg Reward: -68.07 | Re-hits: 0
Update 16000/100000 | Loss: -0.1584 | Avg Turns/Game: 44.6 | Avg Reward: -78.74 | Re-hits: 0
Update 16100/100000 | Loss: -0.2620 | Avg Turns/Game: 42.3 | Avg Reward: -57.62 | Re-hits: 0
Update 16200/100000 | Loss: -0.0602 | Avg Turns/Game: 43.5 | Avg Reward: -62.92 | Re-hits: 0
Update 16300/100000 | Loss: -0.1512 | Avg Turns/Game: 44.6 | Avg Reward: -68.32 | Re-hits: 0
Update 16400/100000 | Loss: -0.2549 | Avg Turns/Game: 45.4 | Avg Reward: -79.86 | Re-hits: 0
Update 16500/100000 | Loss: -0.4150 | Avg Turns/Game: 42.5 | Avg Reward: -58.23 | Re-hits: 0
Update 16600/100000 | Loss: -0.1753 | Avg Turns/Game: 45.7 | Avg Reward: -74.76 | Re-hits: 0
Update 16700/100000 | Loss: -0.0967 | Avg Turns/Game: 44.0 | Avg Reward: -69.40 | Re-hits: 0
Update 16800/100000 | Loss: -0.1871 | Avg Turns/Game: 45.2 | Avg Reward: -77.03 | Re-hits: 0
Update 16900/100000 | Loss: -0.0462 | Avg Turns/Game: 44.7 | Avg Reward: -74.52 | Re-hits: 0
Update 17000/100000 | Loss: -0.1763 | Avg Turns/Game: 43.8 | Avg Reward: -68.67 | Re-hits: 0
Update 17100/100000 | Loss: -0.5792 | Avg Turns/Game: 45.2 | Avg Reward: -71.44 | Re-hits: 0
Update 17200/100000 | Loss: 0.0855 | Avg Turns/Game: 47.2 | Avg Reward: -84.82 | Re-hits: 0
Update 17300/100000 | Loss: -0.3094 | Avg Turns/Game: 44.4 | Avg Reward: -70.72 | Re-hits: 0
Update 17400/100000 | Loss: -0.2528 | Avg Turns/Game: 43.6 | Avg Reward: -64.59 | Re-hits: 0
Update 17500/100000 | Loss: -0.1985 | Avg Turns/Game: 43.4 | Avg Reward: -62.52 | Re-hits: 0
Update 17600/100000 | Loss: -0.1087 | Avg Turns/Game: 44.4 | Avg Reward: -68.97 | Re-hits: 0
Update 17700/100000 | Loss: -0.2170 | Avg Turns/Game: 44.3 | Avg Reward: -71.93 | Re-hits: 0
Update 17800/100000 | Loss: -0.4531 | Avg Turns/Game: 43.9 | Avg Reward: -69.12 | Re-hits: 0
Update 17900/100000 | Loss: -0.1561 | Avg Turns/Game: 45.0 | Avg Reward: -76.61 | Re-hits: 0
Update 18000/100000 | Loss: -0.3624 | Avg Turns/Game: 43.6 | Avg Reward: -65.43 | Re-hits: 0
Update 18100/100000 | Loss: -0.3540 | Avg Turns/Game: 43.6 | Avg Reward: -64.62 | Re-hits: 0
Update 18200/100000 | Loss: -0.0291 | Avg Turns/Game: 43.6 | Avg Reward: -64.78 | Re-hits: 0
Update 18300/100000 | Loss: -0.1458 | Avg Turns/Game: 42.6 | Avg Reward: -58.17 | Re-hits: 0
Update 18400/100000 | Loss: -0.1774 | Avg Turns/Game: 44.0 | Avg Reward: -65.05 | Re-hits: 0
Update 18500/100000 | Loss: -0.4661 | Avg Turns/Game: 45.6 | Avg Reward: -80.48 | Re-hits: 0
Update 18600/100000 | Loss: -0.1871 | Avg Turns/Game: 44.6 | Avg Reward: -74.73 | Re-hits: 0
Update 18700/100000 | Loss: -0.1995 | Avg Turns/Game: 42.3 | Avg Reward: -57.89 | Re-hits: 0
Update 18800/100000 | Loss: -0.3267 | Avg Turns/Game: 44.5 | Avg Reward: -68.44 | Re-hits: 0
Update 18900/100000 | Loss: -0.1409 | Avg Turns/Game: 45.1 | Avg Reward: -69.40 | Re-hits: 0
Update 19000/100000 | Loss: -0.0719 | Avg Turns/Game: 42.9 | Avg Reward: -63.74 | Re-hits: 0
Update 19100/100000 | Loss: -0.1701 | Avg Turns/Game: 43.7 | Avg Reward: -69.59 | Re-hits: 0
Update 19200/100000 | Loss: -0.2420 | Avg Turns/Game: 43.4 | Avg Reward: -61.88 | Re-hits: 0
Update 19300/100000 | Loss: -0.2095 | Avg Turns/Game: 44.4 | Avg Reward: -66.44 | Re-hits: 0
Update 19400/100000 | Loss: -0.0323 | Avg Turns/Game: 43.3 | Avg Reward: -67.97 | Re-hits: 0
Update 19500/100000 | Loss: -0.3177 | Avg Turns/Game: 43.2 | Avg Reward: -64.33 | Re-hits: 0
Update 19600/100000 | Loss: -0.1711 | Avg Turns/Game: 45.1 | Avg Reward: -76.39 | Re-hits: 0
Update 19700/100000 | Loss: -0.0001 | Avg Turns/Game: 45.4 | Avg Reward: -72.70 | Re-hits: 0
Update 19800/100000 | Loss: -0.2247 | Avg Turns/Game: 43.7 | Avg Reward: -62.73 | Re-hits: 0
Update 19900/100000 | Loss: -0.3322 | Avg Turns/Game: 42.5 | Avg Reward: -58.33 | Re-hits: 0
Update 20000/100000 | Loss: -0.2192 | Avg Turns/Game: 43.6 | Avg Reward: -63.18 | Re-hits: 0
Update 20100/100000 | Loss: -0.2471 | Avg Turns/Game: 43.9 | Avg Reward: -65.27 | Re-hits: 0
Update 20200/100000 | Loss: 0.0069 | Avg Turns/Game: 44.2 | Avg Reward: -67.32 | Re-hits: 0
Update 20300/100000 | Loss: -0.0686 | Avg Turns/Game: 44.4 | Avg Reward: -65.97 | Re-hits: 0
Update 20400/100000 | Loss: -0.1374 | Avg Turns/Game: 45.0 | Avg Reward: -70.54 | Re-hits: 0
Update 20500/100000 | Loss: -0.1404 | Avg Turns/Game: 42.4 | Avg Reward: -63.03 | Re-hits: 0
Update 20600/100000 | Loss: -0.0301 | Avg Turns/Game: 43.6 | Avg Reward: -62.97 | Re-hits: 0
Update 20700/100000 | Loss: -0.2534 | Avg Turns/Game: 43.0 | Avg Reward: -56.96 | Re-hits: 0
Update 20800/100000 | Loss: -0.3012 | Avg Turns/Game: 44.0 | Avg Reward: -66.77 | Re-hits: 0
Update 20900/100000 | Loss: -0.0873 | Avg Turns/Game: 44.3 | Avg Reward: -65.69 | Re-hits: 0
Update 21000/100000 | Loss: -0.0217 | Avg Turns/Game: 43.8 | Avg Reward: -64.73 | Re-hits: 0
Update 21100/100000 | Loss: -0.0480 | Avg Turns/Game: 42.1 | Avg Reward: -57.29 | Re-hits: 0
Update 21200/100000 | Loss: 0.0919 | Avg Turns/Game: 44.9 | Avg Reward: -76.60 | Re-hits: 0
Update 21300/100000 | Loss: -0.1564 | Avg Turns/Game: 42.3 | Avg Reward: -59.41 | Re-hits: 0
Update 21400/100000 | Loss: -0.2563 | Avg Turns/Game: 45.4 | Avg Reward: -73.64 | Re-hits: 0
Update 21500/100000 | Loss: -0.3670 | Avg Turns/Game: 42.6 | Avg Reward: -60.65 | Re-hits: 0
Update 21600/100000 | Loss: -0.0182 | Avg Turns/Game: 44.2 | Avg Reward: -71.53 | Re-hits: 0
Update 21700/100000 | Loss: -0.0713 | Avg Turns/Game: 43.7 | Avg Reward: -60.82 | Re-hits: 0
Update 21800/100000 | Loss: 0.3347 | Avg Turns/Game: 42.1 | Avg Reward: -57.50 | Re-hits: 0
Update 21900/100000 | Loss: -0.2407 | Avg Turns/Game: 43.5 | Avg Reward: -66.52 | Re-hits: 0
Update 22000/100000 | Loss: -0.0995 | Avg Turns/Game: 42.9 | Avg Reward: -60.42 | Re-hits: 0
Update 22100/100000 | Loss: -0.0753 | Avg Turns/Game: 43.2 | Avg Reward: -64.88 | Re-hits: 0
Update 22200/100000 | Loss: -0.1100 | Avg Turns/Game: 44.6 | Avg Reward: -70.51 | Re-hits: 0
Update 22300/100000 | Loss: -0.1884 | Avg Turns/Game: 42.5 | Avg Reward: -61.14 | Re-hits: 0
Update 22400/100000 | Loss: -0.1238 | Avg Turns/Game: 44.0 | Avg Reward: -71.67 | Re-hits: 0
Update 22500/100000 | Loss: -0.1871 | Avg Turns/Game: 44.6 | Avg Reward: -86.06 | Re-hits: 0
